epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.384	0.515	0.513	0.517	42.167	0.989
2	1.374	0.517	0.517	0.511	42.003	0.989
3	1.368	0.516	0.515	0.515	41.986	0.989
4	1.365	0.514	0.514	0.508	41.988	0.989
5	1.362	0.513	0.513	0.515	41.984	0.988
6	1.362	0.515	0.514	0.513	42.008	0.988
7	1.36	0.514	0.513	0.51	41.987	0.988
8	1.359	0.513	0.513	0.514	41.982	0.988
9	1.36	0.515	0.516	0.513	41.978	0.988
10	1.36	0.511	0.509	0.512	41.98	0.988
11	1.359	0.513	0.512	0.51	41.981	0.988
12	1.358	0.514	0.513	0.506	41.976	0.988
13	1.357	0.513	0.512	0.51	41.984	0.988
14	1.357	0.514	0.514	0.514	41.985	0.988
15	1.358	0.515	0.514	0.514	41.995	0.988
16	1.356	0.516	0.515	0.517	42.01	0.988
17	1.357	0.516	0.515	0.522	42.014	0.988
18	1.355	0.515	0.512	0.52	42.021	0.988
19	1.354	0.519	0.518	0.513	42.027	0.988
20	1.354	0.517	0.518	0.519	42.033	0.987
21	1.352	0.519	0.518	0.516	41.978	0.988
22	1.351	0.524	0.523	0.521	42.065	0.985
23	1.349	0.529	0.529	0.535	42.141	0.981
24	1.344	0.541	0.54	0.55	42.177	0.979
25	1.334	0.553	0.552	0.554	42.255	0.979
26	1.321	0.56	0.559	0.566	42.258	0.978
27	1.307	0.565	0.565	0.578	42.236	0.976
28	1.284	0.579	0.581	0.591	42.316	0.975
29	1.256	0.597	0.599	0.617	42.368	0.973
30	1.228	0.612	0.616	0.622	42.437	0.966
31	1.2	0.621	0.625	0.64	42.397	0.966
32	1.171	0.639	0.643	0.656	42.439	0.966
33	1.141	0.654	0.661	0.676	42.448	0.96
34	1.107	0.669	0.676	0.678	42.424	0.959
35	1.08	0.677	0.687	0.69	42.497	0.954
36	1.06	0.684	0.695	0.692	42.475	0.955
37	1.034	0.694	0.707	0.707	42.546	0.954
38	1.015	0.705	0.718	0.713	42.519	0.953
39	0.989	0.714	0.729	0.731	42.555	0.951
40	0.963	0.725	0.745	0.719	42.567	0.954
41	0.942	0.736	0.755	0.753	42.623	0.95
42	0.916	0.745	0.767	0.759	42.685	0.95
43	0.896	0.751	0.775	0.762	42.689	0.95
44	0.877	0.757	0.782	0.764	42.714	0.948
45	0.858	0.763	0.792	0.756	42.725	0.947
46	0.835	0.77	0.8	0.771	42.753	0.948
47	0.808	0.781	0.811	0.773	42.826	0.949
48	0.797	0.782	0.818	0.784	42.851	0.949
49	0.777	0.786	0.823	0.779	42.877	0.95
50	0.753	0.791	0.831	0.779	42.902	0.949
51	0.739	0.796	0.838	0.795	42.867	0.948
52	0.722	0.801	0.844	0.794	42.888	0.947
53	0.701	0.808	0.853	0.789	42.889	0.948
54	0.682	0.814	0.862	0.81	42.959	0.948
55	0.665	0.817	0.867	0.809	42.984	0.949
56	0.644	0.825	0.876	0.816	42.981	0.947
57	0.635	0.826	0.881	0.83	42.983	0.948
58	0.622	0.828	0.887	0.798	43.004	0.949
59	0.6	0.835	0.897	0.83	43.033	0.947
60	0.582	0.841	0.905	0.818	42.985	0.947
61	0.564	0.847	0.914	0.819	42.982	0.946
62	0.549	0.85	0.92	0.843	43.008	0.946
63	0.53	0.855	0.928	0.845	42.984	0.946
64	0.516	0.86	0.931	0.84	43.013	0.945
65	0.495	0.865	0.936	0.838	42.997	0.946
66	0.486	0.867	0.94	0.844	43.01	0.946
67	0.471	0.87	0.943	0.861	42.986	0.944
68	0.461	0.872	0.948	0.855	43.025	0.946
69	0.451	0.872	0.951	0.847	43.002	0.945
70	0.444	0.874	0.954	0.837	43.038	0.945
71	0.438	0.875	0.956	0.862	43.014	0.945
72	0.429	0.876	0.959	0.845	42.983	0.944
73	0.416	0.879	0.963	0.845	43.083	0.945
74	0.398	0.885	0.966	0.843	43.054	0.946
75	0.401	0.879	0.966	0.839	43.029	0.944
76	0.396	0.879	0.967	0.862	43.025	0.944
77	0.386	0.883	0.97	0.805	43.039	0.944
78	0.38	0.883	0.972	0.852	43.066	0.945
79	0.371	0.887	0.974	0.858	43.035	0.945
80	0.367	0.884	0.975	0.843	42.989	0.943
81	0.362	0.886	0.976	0.871	43.039	0.944
82	0.367	0.885	0.973	0.862	43.054	0.947
83	0.361	0.886	0.975	0.83	43.001	0.943
84	0.344	0.891	0.977	0.871	42.982	0.943
85	0.337	0.891	0.977	0.86	42.977	0.943
86	0.335	0.89	0.979	0.854	43.003	0.943
87	0.33	0.891	0.978	0.871	43.035	0.944
88	0.326	0.891	0.979	0.844	43.022	0.943
89	0.323	0.891	0.979	0.855	43.013	0.942
90	0.324	0.891	0.979	0.85	43.012	0.944
91	0.326	0.889	0.979	0.86	43.037	0.945
92	0.315	0.89	0.979	0.865	42.956	0.942
93	0.315	0.892	0.979	0.85	42.954	0.942
94	0.303	0.895	0.981	0.842	42.97	0.941
95	0.298	0.897	0.981	0.864	42.963	0.941
96	0.305	0.893	0.981	0.867	42.958	0.942
97	0.302	0.894	0.981	0.859	42.928	0.941
98	0.295	0.896	0.981	0.875	42.931	0.941
99	0.295	0.894	0.981	0.846	42.919	0.94
100	0.294	0.895	0.982	0.87	42.922	0.941
101	0.29	0.896	0.981	0.858	42.918	0.94
102	0.29	0.896	0.981	0.858	42.96	0.94
103	0.29	0.896	0.981	0.872	42.96	0.942
104	0.29	0.895	0.981	0.875	42.938	0.941
105	0.288	0.895	0.981	0.868	42.925	0.94
106	0.288	0.895	0.981	0.877	42.97	0.942
107	0.295	0.893	0.98	0.863	42.96	0.941
108	0.293	0.894	0.98	0.833	42.902	0.94
109	0.274	0.901	0.982	0.87	42.92	0.94
110	0.28	0.897	0.982	0.872	42.931	0.94
111	0.278	0.899	0.982	0.855	42.922	0.94
112	0.279	0.897	0.982	0.85	42.903	0.939
113	0.279	0.898	0.983	0.852	42.896	0.939
114	0.276	0.897	0.982	0.865	42.908	0.939
115	0.274	0.899	0.982	0.858	42.914	0.939
116	0.273	0.899	0.983	0.871	42.877	0.938
117	0.28	0.895	0.983	0.879	42.892	0.939
118	0.277	0.895	0.983	0.843	42.9	0.94
119	0.271	0.899	0.983	0.859	42.887	0.939
120	0.274	0.898	0.983	0.852	42.895	0.939
121	0.275	0.897	0.984	0.863	42.889	0.939
122	0.273	0.897	0.983	0.861	42.892	0.939
123	0.276	0.897	0.983	0.873	42.896	0.939
124	0.27	0.899	0.984	0.865	42.892	0.938
125	0.27	0.899	0.984	0.865	42.872	0.938
126	0.271	0.897	0.985	0.855	42.912	0.938
127	0.271	0.897	0.986	0.867	42.897	0.938
128	0.275	0.898	0.985	0.863	42.949	0.94
129	0.284	0.893	0.985	0.848	42.899	0.94
130	0.287	0.893	0.985	0.881	42.868	0.939
131	0.313	0.887	0.978	0.876	42.787	0.941
132	0.276	0.9	0.985	0.884	42.812	0.939
