epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.383	0.524	0.522	0.537	42.331	0.987
2	1.37	0.552	0.549	0.56	42.559	0.984
3	1.354	0.578	0.577	0.585	42.413	0.98
4	1.334	0.606	0.608	0.621	42.378	0.976
5	1.315	0.622	0.625	0.626	42.425	0.974
6	1.294	0.631	0.635	0.631	42.419	0.973
7	1.273	0.638	0.641	0.628	42.473	0.97
8	1.253	0.641	0.643	0.639	42.419	0.971
9	1.234	0.646	0.649	0.652	42.381	0.971
10	1.216	0.655	0.656	0.658	42.402	0.968
11	1.204	0.659	0.661	0.655	42.366	0.966
12	1.19	0.663	0.665	0.66	42.359	0.968
13	1.182	0.663	0.667	0.667	42.349	0.968
14	1.169	0.671	0.675	0.674	42.38	0.966
15	1.161	0.674	0.68	0.67	42.355	0.966
16	1.15	0.678	0.685	0.662	42.383	0.963
17	1.142	0.683	0.69	0.682	42.342	0.965
18	1.129	0.69	0.696	0.69	42.373	0.962
19	1.116	0.698	0.704	0.698	42.35	0.963
20	1.103	0.702	0.709	0.696	42.337	0.964
21	1.09	0.706	0.714	0.709	42.332	0.964
22	1.078	0.71	0.719	0.709	42.334	0.963
23	1.078	0.71	0.72	0.703	42.349	0.963
24	1.068	0.714	0.724	0.716	42.331	0.962
25	1.059	0.716	0.726	0.715	42.327	0.962
26	1.049	0.723	0.733	0.722	42.331	0.963
27	1.041	0.725	0.737	0.725	42.327	0.963
28	1.038	0.725	0.737	0.723	42.336	0.963
29	1.024	0.728	0.742	0.722	42.345	0.96
30	1.026	0.729	0.743	0.727	42.324	0.961
31	1.015	0.732	0.746	0.712	42.368	0.96
32	1.01	0.734	0.748	0.736	42.344	0.962
33	1.003	0.734	0.75	0.73	42.34	0.961
34	1.002	0.736	0.753	0.738	42.353	0.959
35	0.986	0.743	0.76	0.726	42.339	0.959
36	0.992	0.737	0.755	0.736	42.329	0.96
37	0.985	0.742	0.758	0.737	42.328	0.96
38	0.977	0.74	0.761	0.746	42.314	0.961
39	0.974	0.742	0.762	0.736	42.311	0.961
40	0.966	0.745	0.764	0.74	42.316	0.961
41	0.962	0.745	0.766	0.738	42.361	0.958
42	0.955	0.75	0.771	0.73	42.328	0.961
43	0.956	0.748	0.77	0.746	42.32	0.959
44	0.946	0.753	0.773	0.733	42.316	0.961
45	0.943	0.753	0.775	0.746	42.318	0.959
46	0.936	0.754	0.778	0.754	42.311	0.959
47	0.929	0.756	0.78	0.74	42.3	0.962
48	0.925	0.757	0.782	0.763	42.332	0.959
49	0.917	0.761	0.787	0.744	42.322	0.96
50	0.917	0.759	0.786	0.707	42.325	0.959
51	0.91	0.762	0.79	0.754	42.326	0.96
52	0.903	0.764	0.79	0.76	42.328	0.957
53	0.902	0.762	0.791	0.754	42.328	0.959
54	0.898	0.764	0.794	0.757	42.329	0.958
55	0.892	0.767	0.795	0.753	42.33	0.958
56	0.886	0.77	0.796	0.744	42.335	0.957
57	0.882	0.77	0.799	0.768	42.306	0.958
58	0.882	0.767	0.798	0.753	42.3	0.959
59	0.88	0.768	0.799	0.767	42.313	0.959
60	0.866	0.771	0.803	0.765	42.321	0.959
61	0.876	0.768	0.8	0.772	42.317	0.96
62	0.865	0.773	0.804	0.757	42.335	0.956
63	0.859	0.775	0.807	0.762	42.324	0.955
64	0.855	0.775	0.807	0.759	42.328	0.955
65	0.861	0.772	0.804	0.766	42.337	0.955
66	0.855	0.774	0.807	0.745	42.31	0.959
67	0.852	0.774	0.808	0.761	42.336	0.953
68	0.839	0.779	0.812	0.758	42.326	0.956
69	0.839	0.778	0.811	0.779	42.323	0.955
70	0.836	0.779	0.813	0.761	42.327	0.954
71	0.836	0.775	0.813	0.772	42.331	0.953
