epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.382	0.535	0.533	0.545	42.537	0.99
2	1.377	0.544	0.542	0.534	42.396	0.99
3	1.376	0.546	0.541	0.554	42.51	0.99
4	1.376	0.549	0.545	0.555	42.462	0.99
5	1.376	0.548	0.544	0.545	42.266	0.989
6	1.372	0.552	0.547	0.554	42.442	0.989
7	1.373	0.548	0.544	0.546	42.29	0.988
8	1.367	0.553	0.546	0.558	42.386	0.989
9	1.365	0.553	0.548	0.56	42.255	0.988
10	1.363	0.553	0.546	0.564	42.385	0.989
11	1.361	0.554	0.548	0.554	42.377	0.988
12	1.357	0.558	0.551	0.563	42.211	0.988
13	1.357	0.557	0.55	0.564	42.241	0.988
14	1.354	0.557	0.55	0.565	42.222	0.988
15	1.354	0.558	0.55	0.556	42.197	0.988
16	1.352	0.558	0.551	0.564	42.242	0.987
17	1.352	0.559	0.551	0.569	42.414	0.989
18	1.351	0.559	0.55	0.551	42.381	0.988
19	1.348	0.559	0.55	0.566	42.331	0.988
20	1.348	0.561	0.553	0.567	42.252	0.987
21	1.347	0.558	0.549	0.554	42.475	0.988
22	1.346	0.56	0.552	0.568	42.267	0.988
23	1.347	0.56	0.553	0.566	42.27	0.988
24	1.342	0.564	0.556	0.568	42.353	0.988
25	1.342	0.562	0.555	0.557	42.302	0.988
26	1.342	0.561	0.554	0.572	42.486	0.988
27	1.342	0.562	0.555	0.57	42.449	0.988
28	1.343	0.563	0.554	0.571	42.457	0.988
29	1.341	0.564	0.557	0.566	42.463	0.988
30	1.338	0.565	0.558	0.576	42.447	0.987
31	1.332	0.567	0.558	0.566	42.352	0.988
32	1.334	0.567	0.556	0.573	42.39	0.988
33	1.33	0.569	0.559	0.574	42.503	0.988
34	1.327	0.567	0.558	0.567	42.258	0.987
35	1.322	0.573	0.562	0.562	42.21	0.986
36	1.324	0.57	0.56	0.585	42.336	0.987
37	1.317	0.574	0.566	0.572	42.242	0.987
38	1.318	0.573	0.561	0.554	42.337	0.987
39	1.313	0.575	0.565	0.575	42.351	0.987
40	1.311	0.576	0.565	0.571	42.366	0.988
41	1.315	0.576	0.566	0.573	42.205	0.987
42	1.306	0.579	0.569	0.59	42.263	0.987
43	1.31	0.578	0.568	0.564	42.382	0.988
44	1.312	0.576	0.565	0.579	42.537	0.988
45	1.308	0.579	0.568	0.57	42.356	0.987
46	1.308	0.578	0.566	0.555	42.275	0.987
47	1.304	0.579	0.568	0.586	42.259	0.987
48	1.303	0.579	0.569	0.593	42.378	0.987
49	1.305	0.579	0.568	0.585	42.238	0.987
50	1.3	0.582	0.571	0.588	42.332	0.987
51	1.299	0.583	0.57	0.583	42.355	0.987
52	1.295	0.583	0.571	0.592	42.438	0.987
53	1.295	0.582	0.572	0.579	42.33	0.987
54	1.297	0.583	0.571	0.554	42.267	0.987
55	1.293	0.583	0.573	0.585	42.347	0.988
56	1.288	0.587	0.575	0.597	42.406	0.987
57	1.295	0.585	0.574	0.589	42.365	0.987
58	1.293	0.582	0.571	0.607	42.411	0.987
59	1.285	0.589	0.576	0.608	42.35	0.987
60	1.291	0.586	0.574	0.595	42.274	0.987
61	1.289	0.586	0.574	0.594	42.446	0.987
62	1.281	0.593	0.582	0.603	42.42	0.987
63	1.283	0.592	0.58	0.593	42.325	0.987
64	1.279	0.591	0.578	0.621	42.426	0.987
65	1.276	0.596	0.58	0.598	42.576	0.987
66	1.271	0.595	0.583	0.62	42.292	0.986
67	1.27	0.598	0.585	0.619	42.278	0.985
68	1.271	0.596	0.584	0.619	42.301	0.986
69	1.268	0.596	0.582	0.613	42.229	0.986
70	1.264	0.599	0.585	0.607	42.416	0.986
71	1.267	0.6	0.585	0.621	42.313	0.986
72	1.256	0.602	0.589	0.638	42.247	0.985
73	1.25	0.608	0.593	0.631	42.345	0.985
74	1.241	0.613	0.601	0.631	42.325	0.986
75	1.237	0.617	0.604	0.625	42.392	0.984
76	1.231	0.622	0.604	0.658	42.388	0.984
77	1.214	0.632	0.617	0.655	42.345	0.982
78	1.203	0.636	0.621	0.658	42.323	0.982
