epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	1.382	0.536	0.533	0.544	0.543	42.513	0.54	0.99
2	1.377	0.545	0.541	0.535	0.535	42.356	0.531	0.99
3	1.377	0.547	0.542	0.553	0.554	42.466	0.552	0.99
4	1.377	0.549	0.544	0.552	0.553	42.441	0.55	0.989
5	1.376	0.547	0.543	0.544	0.544	42.375	0.538	0.989
6	1.373	0.552	0.546	0.557	0.557	42.409	0.554	0.989
7	1.369	0.55	0.545	0.538	0.537	42.35	0.534	0.989
8	1.36	0.555	0.549	0.55	0.558	42.374	0.554	0.989
9	1.358	0.556	0.549	0.556	0.557	42.253	0.552	0.988
10	1.354	0.558	0.55	0.565	0.569	42.368	0.564	0.988
11	1.352	0.559	0.551	0.549	0.553	42.451	0.551	0.988
12	1.349	0.559	0.552	0.555	0.56	42.37	0.552	0.988
13	1.345	0.561	0.553	0.556	0.561	42.341	0.555	0.988
14	1.339	0.562	0.554	0.546	0.552	42.217	0.549	0.988
15	1.341	0.566	0.556	0.559	0.566	42.227	0.559	0.987
16	1.333	0.566	0.556	0.571	0.579	42.233	0.574	0.988
17	1.329	0.569	0.559	0.572	0.58	42.43	0.574	0.988
18	1.328	0.569	0.559	0.532	0.537	42.501	0.535	0.988
19	1.324	0.569	0.559	0.549	0.555	42.294	0.549	0.988
20	1.324	0.571	0.561	0.562	0.57	42.285	0.566	0.988
21	1.322	0.569	0.559	0.568	0.579	42.399	0.573	0.988
22	1.322	0.572	0.562	0.564	0.57	42.32	0.564	0.988
23	1.323	0.572	0.563	0.572	0.582	42.275	0.575	0.988
24	1.316	0.576	0.565	0.576	0.584	42.621	0.579	0.988
25	1.316	0.575	0.564	0.567	0.58	42.379	0.574	0.988
26	1.314	0.572	0.564	0.579	0.592	42.357	0.585	0.988
27	1.313	0.571	0.562	0.577	0.586	42.532	0.582	0.988
28	1.317	0.573	0.562	0.57	0.581	42.296	0.574	0.988
29	1.316	0.573	0.563	0.584	0.593	42.419	0.583	0.988
30	1.313	0.575	0.565	0.591	0.6	42.524	0.595	0.988
31	1.311	0.573	0.565	0.541	0.555	42.451	0.55	0.988
32	1.31	0.574	0.565	0.577	0.587	42.395	0.579	0.988
33	1.308	0.575	0.564	0.584	0.595	42.526	0.588	0.988
34	1.31	0.572	0.563	0.572	0.58	42.439	0.574	0.987
35	1.304	0.579	0.568	0.559	0.568	42.316	0.563	0.988
36	1.307	0.574	0.565	0.58	0.592	42.419	0.585	0.988
37	1.307	0.574	0.564	0.585	0.597	42.381	0.589	0.987
38	1.306	0.573	0.563	0.56	0.569	42.239	0.561	0.987
39	1.301	0.577	0.566	0.559	0.569	42.34	0.561	0.987
40	1.297	0.579	0.569	0.575	0.584	42.527	0.576	0.988
41	1.302	0.578	0.565	0.566	0.578	42.405	0.569	0.988
42	1.294	0.583	0.571	0.582	0.594	42.367	0.586	0.987
43	1.297	0.582	0.571	0.561	0.566	42.304	0.559	0.987
44	1.297	0.58	0.568	0.587	0.597	42.446	0.59	0.987
45	1.292	0.586	0.574	0.589	0.598	42.344	0.59	0.987
46	1.292	0.582	0.569	0.554	0.559	42.291	0.554	0.987
47	1.29	0.586	0.574	0.592	0.605	42.296	0.594	0.987
48	1.286	0.587	0.576	0.579	0.59	42.354	0.579	0.987
49	1.288	0.585	0.573	0.584	0.598	42.332	0.589	0.987
50	1.283	0.59	0.577	0.597	0.61	42.309	0.601	0.987
51	1.279	0.591	0.58	0.586	0.597	42.329	0.589	0.987
52	1.276	0.592	0.58	0.595	0.609	42.37	0.599	0.986
53	1.275	0.594	0.581	0.585	0.593	42.326	0.582	0.986
54	1.275	0.595	0.583	0.561	0.569	42.319	0.561	0.986
55	1.27	0.596	0.583	0.609	0.621	42.366	0.612	0.986
56	1.261	0.602	0.589	0.62	0.633	42.329	0.622	0.985
57	1.264	0.6	0.586	0.592	0.604	42.255	0.594	0.985
58	1.254	0.602	0.59	0.6	0.614	42.296	0.604	0.985
59	1.241	0.611	0.596	0.612	0.628	42.275	0.615	0.983
60	1.243	0.61	0.594	0.621	0.641	42.282	0.627	0.984
61	1.232	0.615	0.598	0.61	0.627	42.373	0.617	0.983
62	1.219	0.622	0.607	0.607	0.621	42.358	0.61	0.983
63	1.215	0.625	0.61	0.624	0.639	42.297	0.627	0.984
64	1.209	0.628	0.611	0.636	0.651	42.485	0.64	0.982
65	1.189	0.635	0.618	0.645	0.663	42.412	0.652	0.985
66	1.186	0.636	0.621	0.644	0.662	42.346	0.653	0.981
67	1.165	0.641	0.629	0.646	0.657	42.545	0.649	0.982
68	1.16	0.643	0.629	0.626	0.639	42.32	0.628	0.98
69	1.145	0.644	0.632	0.651	0.668	42.295	0.658	0.976
70	1.129	0.654	0.64	0.673	0.685	42.51	0.677	0.98
71	1.118	0.658	0.644	0.633	0.644	42.59	0.63	0.981
72	1.108	0.662	0.648	0.683	0.695	42.319	0.689	0.977
73	1.084	0.67	0.657	0.632	0.642	42.247	0.624	0.976
74	1.078	0.672	0.659	0.693	0.704	42.253	0.697	0.977
75	1.065	0.677	0.665	0.664	0.673	42.323	0.66	0.973
76	1.053	0.686	0.668	0.695	0.707	42.306	0.696	0.977
77	1.033	0.692	0.678	0.67	0.684	42.522	0.669	0.975
78	1.023	0.695	0.682	0.704	0.713	42.364	0.704	0.975
79	1.011	0.703	0.685	0.681	0.69	42.262	0.676	0.971
80	0.991	0.709	0.693	0.702	0.711	42.268	0.701	0.97
81	0.984	0.709	0.695	0.693	0.7	42.517	0.682	0.978
82	0.965	0.715	0.703	0.681	0.691	42.394	0.673	0.97
83	0.952	0.717	0.703	0.728	0.736	42.366	0.728	0.972
84	0.946	0.727	0.713	0.73	0.736	42.315	0.727	0.97
85	0.929	0.733	0.72	0.754	0.761	42.497	0.751	0.97
86	0.919	0.742	0.727	0.768	0.775	42.893	0.764	0.973
87	0.894	0.746	0.731	0.745	0.754	42.509	0.743	0.97
88	0.878	0.75	0.736	0.75	0.758	42.59	0.748	0.972
89	0.869	0.752	0.739	0.747	0.757	42.414	0.742	0.97
90	0.851	0.756	0.745	0.776	0.782	43.007	0.773	0.972
91	0.838	0.762	0.749	0.772	0.779	42.487	0.77	0.969
92	0.824	0.765	0.753	0.728	0.733	42.746	0.705	0.97
93	0.818	0.765	0.752	0.76	0.767	43.297	0.753	0.975
94	0.806	0.77	0.757	0.779	0.784	42.462	0.776	0.968
95	0.804	0.772	0.758	0.773	0.781	42.493	0.767	0.97
96	0.803	0.77	0.757	0.782	0.789	42.465	0.777	0.969
97	0.788	0.774	0.761	0.777	0.784	42.43	0.771	0.97
98	0.785	0.779	0.767	0.8	0.803	42.702	0.796	0.969
99	0.763	0.787	0.776	0.776	0.783	42.534	0.761	0.971
100	0.757	0.791	0.777	0.798	0.808	42.463	0.787	0.967
101	0.745	0.798	0.781	0.79	0.8	42.965	0.776	0.971
102	0.728	0.811	0.795	0.816	0.834	42.513	0.815	0.966
103	0.703	0.821	0.802	0.83	0.844	42.437	0.834	0.967
104	0.691	0.823	0.806	0.835	0.844	42.435	0.831	0.966
105	0.676	0.826	0.808	0.843	0.856	42.642	0.847	0.967
106	0.673	0.829	0.812	0.855	0.87	42.603	0.857	0.968
107	0.64	0.851	0.831	0.866	0.88	42.532	0.865	0.969
108	0.613	0.854	0.84	0.868	0.887	42.58	0.871	0.967
109	0.619	0.856	0.833	0.885	0.9	42.502	0.888	0.965
110	0.578	0.87	0.85	0.882	0.899	42.53	0.882	0.967
111	0.572	0.873	0.853	0.888	0.903	42.639	0.889	0.968
112	0.562	0.879	0.854	0.846	0.866	42.796	0.83	0.968
113	0.549	0.884	0.861	0.915	0.929	42.513	0.912	0.966
114	0.526	0.891	0.874	0.914	0.931	42.727	0.916	0.967
115	0.529	0.898	0.875	0.927	0.939	42.444	0.919	0.966
116	0.508	0.903	0.88	0.921	0.941	42.546	0.92	0.967
117	0.479	0.912	0.889	0.926	0.942	42.344	0.915	0.969
118	0.47	0.916	0.896	0.941	0.96	42.495	0.942	0.964
119	0.457	0.923	0.899	0.87	0.883	42.695	0.831	0.968
120	0.434	0.925	0.907	0.945	0.961	42.442	0.944	0.969
121	0.416	0.938	0.912	0.957	0.974	42.531	0.957	0.965
122	0.386	0.944	0.924	0.945	0.965	42.45	0.943	0.968
123	0.371	0.945	0.925	0.946	0.962	42.806	0.94	0.97
124	0.369	0.947	0.926	0.963	0.982	42.444	0.964	0.964
125	0.367	0.948	0.927	0.96	0.977	42.391	0.952	0.964
126	0.376	0.944	0.925	0.845	0.856	42.916	0.796	0.972
127	0.34	0.953	0.932	0.973	0.987	42.442	0.972	0.963
128	0.329	0.955	0.936	0.967	0.981	42.504	0.96	0.964
129	0.347	0.952	0.931	0.969	0.98	42.503	0.96	0.966
130	0.342	0.954	0.93	0.962	0.973	42.846	0.951	0.97
131	0.322	0.956	0.937	0.967	0.981	42.479	0.959	0.965
132	0.315	0.957	0.938	0.979	0.989	42.498	0.975	0.964
133	0.316	0.955	0.935	0.917	0.93	42.504	0.874	0.965
134	0.336	0.955	0.933	0.966	0.975	42.682	0.953	0.968
135	0.309	0.958	0.941	0.981	0.988	42.622	0.974	0.966
136	0.31	0.956	0.937	0.968	0.981	42.577	0.96	0.965
137	0.312	0.953	0.938	0.983	0.992	42.491	0.979	0.962
138	0.285	0.96	0.943	0.98	0.989	42.502	0.972	0.963
