epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	NaN	1.386	0.503	0.503	0.498	0.497	42.151	0.496	0.989
2	NaN	1.386	0.503	0.503	0.505	0.503	42.287	0.504	0.99
3	NaN	1.386	0.507	0.506	0.501	0.502	42.142	0.502	0.989
4	NaN	1.386	0.506	0.506	0.504	0.505	42.323	0.504	0.99
5	NaN	1.381	0.51	0.507	0.494	0.495	43.312	0.495	0.986
6	NaN	1.368	0.521	0.514	0.504	0.505	43.152	0.503	0.979
7	NaN	1.353	0.526	0.519	0.524	0.531	42.579	0.524	0.976
8	NaN	1.346	0.531	0.523	0.514	0.516	43.097	0.514	0.978
9	NaN	1.34	0.534	0.526	0.53	0.532	42.771	0.531	0.972
10	NaN	1.331	0.542	0.532	0.526	0.529	42.397	0.525	0.965
11	NaN	1.323	0.553	0.54	0.556	0.559	42.474	0.55	0.966
12	NaN	1.308	0.563	0.547	0.571	0.576	42.668	0.567	0.967
13	NaN	1.295	0.569	0.555	0.572	0.576	42.416	0.569	0.964
14	NaN	1.285	0.576	0.559	0.585	0.595	42.392	0.584	0.963
15	NaN	1.262	0.589	0.569	0.594	0.602	42.209	0.585	0.96
16	NaN	1.247	0.596	0.576	0.615	0.624	42.555	0.615	0.962
17	NaN	1.227	0.604	0.582	0.606	0.615	42.249	0.605	0.955
18	NaN	1.217	0.609	0.588	0.617	0.633	42.395	0.619	0.957
19	NaN	1.207	0.616	0.588	0.624	0.642	42.216	0.626	0.951
20	NaN	1.193	0.623	0.598	0.608	0.624	42.328	0.602	0.95
21	NaN	1.185	0.628	0.599	0.623	0.645	42.398	0.633	0.956
22	NaN	1.175	0.632	0.601	0.619	0.643	42.588	0.631	0.958
23	NaN	1.161	0.64	0.609	0.624	0.647	42.485	0.634	0.957
24	NaN	1.16	0.637	0.608	0.625	0.648	42.552	0.635	0.958
25	NaN	1.146	0.643	0.613	0.633	0.655	42.422	0.644	0.962
