epoch	train.loss	train.mjpeg_acc	train.noise_acc	train.raw_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.quantized_acc	val.raw_acc	val.ssim
1	2.099	0.501	0.501	0.502	0.503	0.503	42.051	0.503	0.503	0.983
2	2.08	0.501	0.501	0.501	0.5	0.5	42.013	0.5	0.5	0.983
3	2.08	0.502	0.502	0.502	0.498	0.499	42.009	0.499	0.499	0.983
4	2.08	0.504	0.503	0.503	0.506	0.505	42.006	0.506	0.505	0.982
5	2.079	0.504	0.503	0.503	0.505	0.505	42.007	0.505	0.505	0.982
6	2.078	0.512	0.51	0.51	0.511	0.511	42.014	0.513	0.512	0.982
7	2.078	0.516	0.514	0.514	0.506	0.507	41.993	0.506	0.507	0.981
8	2.079	0.511	0.51	0.509	0.499	0.503	41.962	0.501	0.502	0.983
9	2.077	0.516	0.514	0.514	0.516	0.515	41.976	0.518	0.515	0.982
10	2.068	0.528	0.526	0.526	0.53	0.527	41.978	0.531	0.527	0.981
11	2.072	0.528	0.526	0.526	0.527	0.525	41.969	0.526	0.524	0.981
12	2.067	0.532	0.531	0.531	0.527	0.528	41.968	0.528	0.527	0.981
13	2.066	0.534	0.533	0.533	0.532	0.53	41.971	0.533	0.531	0.98
14	2.064	0.538	0.537	0.537	0.535	0.532	41.97	0.535	0.532	0.981
15	2.063	0.536	0.535	0.535	0.547	0.545	41.969	0.548	0.545	0.981
16	2.06	0.543	0.541	0.542	0.541	0.54	41.964	0.54	0.539	0.982
17	2.057	0.546	0.544	0.544	0.547	0.543	41.97	0.546	0.543	0.98
18	2.056	0.546	0.546	0.545	0.551	0.549	41.967	0.553	0.55	0.981
19	2.048	0.554	0.552	0.552	0.55	0.547	41.966	0.55	0.548	0.981
20	2.041	0.561	0.56	0.561	0.563	0.564	41.965	0.564	0.564	0.982
21	2.043	0.557	0.557	0.556	0.557	0.556	41.963	0.558	0.556	0.982
22	2.037	0.563	0.56	0.561	0.566	0.565	41.967	0.568	0.564	0.98
23	2.027	0.567	0.566	0.566	0.572	0.569	41.963	0.57	0.57	0.981
24	2.024	0.571	0.57	0.571	0.576	0.573	41.967	0.576	0.573	0.98
25	2.012	0.575	0.573	0.573	0.579	0.579	41.963	0.581	0.578	0.979
26	1.996	0.585	0.583	0.583	0.586	0.581	41.966	0.586	0.583	0.979
27	1.986	0.59	0.589	0.589	0.583	0.586	41.966	0.589	0.586	0.979
28	1.981	0.593	0.591	0.592	0.595	0.591	41.966	0.596	0.593	0.979
29	1.961	0.6	0.599	0.599	0.598	0.594	41.964	0.599	0.595	0.978
30	1.956	0.599	0.598	0.598	0.601	0.601	41.967	0.603	0.6	0.978
31	1.951	0.602	0.6	0.6	0.599	0.599	41.967	0.6	0.599	0.979
32	1.935	0.607	0.606	0.606	0.606	0.604	41.968	0.607	0.605	0.978
33	1.941	0.601	0.6	0.6	0.605	0.605	41.968	0.609	0.604	0.977
34	1.936	0.604	0.604	0.605	0.606	0.602	41.966	0.607	0.603	0.977
35	1.932	0.607	0.608	0.607	0.612	0.614	41.966	0.618	0.615	0.978
36	1.922	0.611	0.608	0.609	0.611	0.61	41.967	0.613	0.61	0.976
37	1.914	0.617	0.614	0.616	0.615	0.614	41.967	0.617	0.614	0.977
38	1.903	0.617	0.617	0.617	0.619	0.619	41.967	0.624	0.62	0.976
39	1.897	0.62	0.619	0.62	0.621	0.619	41.968	0.624	0.621	0.976
40	1.892	0.622	0.622	0.621	0.625	0.624	41.967	0.627	0.622	0.975
41	1.871	0.628	0.628	0.628	0.63	0.63	41.968	0.634	0.631	0.975
42	1.861	0.627	0.627	0.626	0.629	0.627	41.968	0.63	0.628	0.975
43	1.851	0.63	0.63	0.63	0.631	0.631	41.968	0.635	0.632	0.976
44	1.835	0.633	0.633	0.633	0.631	0.629	41.968	0.633	0.629	0.976
45	1.827	0.631	0.632	0.633	0.63	0.63	41.966	0.633	0.631	0.975
46	1.817	0.638	0.638	0.638	0.639	0.638	41.966	0.643	0.638	0.975
47	1.815	0.634	0.633	0.633	0.638	0.636	41.966	0.641	0.637	0.975
48	1.802	0.636	0.636	0.637	0.637	0.638	41.965	0.641	0.638	0.974
49	1.791	0.637	0.638	0.637	0.638	0.638	41.964	0.64	0.637	0.975
50	1.795	0.636	0.636	0.636	0.643	0.641	41.965	0.647	0.642	0.975
51	1.772	0.639	0.64	0.641	0.642	0.641	41.965	0.647	0.642	0.975
52	1.79	0.634	0.635	0.636	0.642	0.64	41.964	0.645	0.641	0.975
53	1.779	0.636	0.637	0.636	0.645	0.647	41.964	0.65	0.647	0.974
54	1.752	0.645	0.645	0.646	0.639	0.641	41.963	0.646	0.64	0.974
55	1.75	0.643	0.643	0.643	0.646	0.645	41.964	0.649	0.647	0.974
56	1.754	0.64	0.64	0.641	0.642	0.64	41.962	0.646	0.64	0.973
57	1.741	0.644	0.644	0.645	0.645	0.646	41.963	0.65	0.646	0.974
58	1.735	0.65	0.65	0.65	0.644	0.646	41.963	0.651	0.646	0.974
59	1.723	0.652	0.653	0.653	0.653	0.656	41.963	0.659	0.656	0.972
60	1.709	0.656	0.657	0.657	0.653	0.655	41.963	0.66	0.656	0.973
61	1.711	0.655	0.657	0.658	0.665	0.666	41.962	0.671	0.667	0.974
62	1.698	0.661	0.663	0.665	0.662	0.666	41.962	0.667	0.665	0.972
63	1.685	0.664	0.668	0.668	0.661	0.664	41.963	0.669	0.664	0.973
64	1.675	0.668	0.671	0.671	0.664	0.667	41.963	0.673	0.67	0.972
65	1.695	0.662	0.665	0.664	0.669	0.672	41.962	0.677	0.672	0.973
66	1.666	0.671	0.675	0.675	0.673	0.677	41.962	0.68	0.678	0.972
67	1.638	0.681	0.684	0.683	0.678	0.679	41.962	0.684	0.682	0.972
68	1.638	0.679	0.685	0.686	0.685	0.686	41.962	0.692	0.687	0.972
69	1.628	0.687	0.692	0.691	0.687	0.693	41.962	0.696	0.691	0.972
70	1.61	0.69	0.694	0.694	0.69	0.692	41.962	0.695	0.692	0.971
