epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
1	0.692	0.512	0.513	0.519	0.518	0.516	0.518	43.281	0.988
2	0.688	0.532	0.529	0.516	0.514	0.52	0.521	42.379	0.987
3	0.687	0.533	0.533	0.524	0.518	0.523	0.522	42.23	0.986
4	0.686	0.538	0.536	0.526	0.52	0.523	0.525	42.052	0.987
5	0.684	0.539	0.537	0.529	0.53	0.527	0.531	41.814	0.986
6	0.683	0.539	0.536	0.53	0.529	0.528	0.53	41.729	0.987
7	0.68	0.54	0.538	0.533	0.53	0.531	0.534	41.537	0.986
8	0.677	0.542	0.539	0.529	0.525	0.525	0.527	41.293	0.987
9	0.674	0.541	0.539	0.522	0.525	0.522	0.521	41.173	0.986
10	0.672	0.537	0.534	0.523	0.517	0.52	0.523	41.081	0.986
11	0.669	0.536	0.534	0.531	0.524	0.529	0.528	40.966	0.986
12	0.667	0.539	0.538	0.528	0.527	0.529	0.529	40.94	0.985
13	0.666	0.538	0.534	0.528	0.523	0.525	0.527	40.921	0.986
14	0.664	0.535	0.535	0.524	0.52	0.524	0.526	40.896	0.985
15	0.664	0.535	0.533	0.526	0.524	0.527	0.528	40.894	0.985
16	0.662	0.538	0.539	0.531	0.532	0.529	0.53	40.847	0.985
17	0.661	0.534	0.533	0.531	0.528	0.528	0.529	40.897	0.985
18	0.66	0.536	0.535	0.529	0.526	0.527	0.531	40.852	0.984
19	0.659	0.535	0.533	0.528	0.528	0.527	0.529	40.865	0.984
20	0.659	0.538	0.537	0.528	0.529	0.525	0.529	40.806	0.984
21	0.658	0.541	0.54	0.525	0.525	0.523	0.525	40.795	0.984
22	0.657	0.538	0.538	0.533	0.531	0.53	0.533	40.816	0.984
23	0.655	0.54	0.539	0.53	0.53	0.528	0.531	40.777	0.983
24	0.654	0.542	0.541	0.534	0.531	0.532	0.534	40.772	0.983
25	0.653	0.543	0.541	0.528	0.526	0.526	0.528	40.8	0.983
26	0.652	0.541	0.541	0.533	0.53	0.531	0.534	40.749	0.983
27	0.651	0.54	0.539	0.528	0.529	0.525	0.526	40.763	0.983
28	0.651	0.54	0.539	0.529	0.535	0.528	0.528	40.733	0.983
29	0.65	0.541	0.54	0.533	0.531	0.532	0.533	40.808	0.983
30	0.648	0.543	0.541	0.528	0.527	0.528	0.528	40.761	0.982
31	0.647	0.544	0.544	0.541	0.536	0.541	0.542	40.77	0.983
32	0.647	0.54	0.54	0.532	0.531	0.531	0.535	40.805	0.982
33	0.646	0.543	0.542	0.533	0.528	0.534	0.533	40.806	0.982
34	0.644	0.546	0.546	0.533	0.529	0.531	0.53	40.775	0.982
35	0.644	0.542	0.542	0.531	0.53	0.528	0.529	40.728	0.982
36	0.642	0.543	0.543	0.533	0.53	0.53	0.533	40.726	0.982
37	0.643	0.541	0.541	0.531	0.529	0.528	0.532	40.767	0.982
38	0.641	0.545	0.545	0.533	0.532	0.531	0.532	40.756	0.982
39	0.641	0.544	0.542	0.54	0.538	0.537	0.54	40.759	0.982
40	0.64	0.546	0.547	0.541	0.537	0.539	0.539	40.785	0.982
41	0.639	0.546	0.548	0.539	0.532	0.538	0.539	40.773	0.981
42	0.639	0.547	0.544	0.538	0.534	0.537	0.541	40.76	0.981
43	0.638	0.546	0.547	0.536	0.534	0.533	0.539	40.79	0.981
44	0.638	0.549	0.549	0.541	0.537	0.539	0.537	40.771	0.981
45	0.637	0.551	0.55	0.547	0.54	0.546	0.544	40.823	0.981
46	0.637	0.552	0.552	0.547	0.547	0.543	0.545	40.887	0.98
47	0.635	0.557	0.556	0.55	0.547	0.547	0.55	40.933	0.98
48	0.633	0.567	0.566	0.561	0.556	0.557	0.56	41.06	0.979
49	0.63	0.573	0.574	0.568	0.567	0.564	0.569	41.048	0.979
50	0.626	0.581	0.582	0.572	0.568	0.571	0.571	41.145	0.979
51	0.623	0.582	0.583	0.571	0.566	0.569	0.574	41.12	0.978
52	0.621	0.587	0.586	0.578	0.571	0.575	0.576	41.352	0.978
53	0.616	0.593	0.594	0.578	0.575	0.577	0.581	41.402	0.977
54	0.614	0.599	0.6	0.591	0.586	0.591	0.592	41.401	0.976
55	0.608	0.609	0.611	0.605	0.599	0.6	0.606	41.429	0.975
56	0.602	0.618	0.62	0.609	0.608	0.607	0.612	41.501	0.976
57	0.598	0.625	0.628	0.615	0.604	0.61	0.616	41.504	0.976
58	0.587	0.64	0.644	0.63	0.621	0.619	0.629	41.55	0.975
59	0.581	0.645	0.647	0.633	0.62	0.626	0.633	41.54	0.976
60	0.574	0.65	0.652	0.634	0.624	0.63	0.635	41.545	0.975
61	0.565	0.66	0.664	0.644	0.631	0.641	0.644	41.614	0.975
62	0.56	0.658	0.664	0.647	0.638	0.638	0.648	41.652	0.975
63	0.551	0.667	0.674	0.649	0.635	0.636	0.648	41.663	0.974
64	0.544	0.669	0.676	0.66	0.648	0.65	0.66	41.669	0.974
65	0.539	0.675	0.681	0.665	0.65	0.654	0.666	41.679	0.974
66	0.527	0.685	0.693	0.665	0.655	0.655	0.666	41.749	0.974
67	0.522	0.687	0.694	0.673	0.66	0.663	0.675	41.811	0.974
68	0.515	0.693	0.702	0.687	0.674	0.671	0.685	41.873	0.973
69	0.509	0.698	0.708	0.686	0.672	0.667	0.684	41.858	0.973
70	0.5	0.704	0.717	0.684	0.67	0.665	0.685	41.795	0.972
71	0.493	0.706	0.721	0.697	0.681	0.681	0.698	41.859	0.972
72	0.486	0.711	0.727	0.702	0.687	0.678	0.703	41.89	0.972
73	0.48	0.711	0.73	0.7	0.687	0.678	0.701	41.957	0.972
74	0.47	0.72	0.739	0.71	0.696	0.686	0.71	41.964	0.972
75	0.467	0.718	0.738	0.716	0.7	0.689	0.718	41.981	0.971
76	0.457	0.724	0.747	0.718	0.702	0.691	0.72	41.993	0.971
77	0.448	0.732	0.755	0.724	0.705	0.688	0.72	42.007	0.971
78	0.441	0.736	0.759	0.734	0.714	0.706	0.734	41.972	0.971
79	0.432	0.739	0.763	0.735	0.719	0.703	0.737	42.117	0.971
80	0.424	0.748	0.773	0.74	0.718	0.704	0.741	42.055	0.97
81	0.415	0.751	0.78	0.739	0.716	0.707	0.74	42.059	0.97
82	0.411	0.753	0.782	0.752	0.732	0.709	0.75	42.037	0.97
83	0.401	0.757	0.789	0.756	0.736	0.719	0.753	42.098	0.969
84	0.393	0.76	0.793	0.765	0.739	0.718	0.765	42.11	0.97
85	0.386	0.765	0.801	0.762	0.742	0.718	0.761	42.176	0.969
86	0.378	0.769	0.803	0.763	0.745	0.714	0.763	42.09	0.97
87	0.374	0.766	0.805	0.77	0.749	0.721	0.77	42.135	0.969
88	0.364	0.772	0.812	0.774	0.753	0.727	0.773	42.173	0.968
89	0.359	0.773	0.813	0.778	0.754	0.721	0.777	42.157	0.969
90	0.352	0.777	0.819	0.781	0.759	0.736	0.781	42.189	0.968
91	0.347	0.776	0.822	0.787	0.767	0.728	0.786	42.186	0.968
92	0.337	0.784	0.828	0.791	0.76	0.73	0.79	42.198	0.968
93	0.334	0.783	0.829	0.786	0.761	0.725	0.783	42.199	0.968
94	0.329	0.785	0.833	0.799	0.768	0.737	0.795	42.153	0.968
95	0.322	0.787	0.839	0.795	0.775	0.737	0.792	42.199	0.967
96	0.315	0.79	0.841	0.804	0.771	0.745	0.803	42.153	0.967
97	0.314	0.791	0.845	0.809	0.78	0.739	0.806	42.094	0.967
98	0.302	0.797	0.852	0.814	0.783	0.743	0.812	42.16	0.966
99	0.3	0.796	0.854	0.814	0.786	0.741	0.813	42.137	0.967
100	0.293	0.803	0.857	0.814	0.79	0.74	0.814	42.202	0.967
101	0.286	0.803	0.862	0.82	0.787	0.743	0.82	42.135	0.966
102	0.28	0.807	0.867	0.825	0.79	0.742	0.825	42.192	0.966
103	0.274	0.81	0.871	0.831	0.799	0.75	0.831	42.199	0.966
104	0.27	0.812	0.875	0.836	0.803	0.756	0.832	42.139	0.966
105	0.261	0.818	0.882	0.835	0.8	0.753	0.834	42.189	0.966
106	0.256	0.817	0.885	0.838	0.806	0.751	0.837	42.219	0.965
107	0.251	0.819	0.888	0.839	0.802	0.753	0.84	42.185	0.965
108	0.247	0.819	0.89	0.843	0.813	0.754	0.84	42.162	0.965
109	0.242	0.82	0.893	0.845	0.808	0.755	0.846	42.139	0.965
110	0.233	0.828	0.899	0.849	0.823	0.761	0.85	42.173	0.965
111	0.227	0.827	0.902	0.86	0.821	0.768	0.858	42.176	0.964
112	0.225	0.826	0.903	0.859	0.825	0.761	0.857	42.251	0.964
113	0.217	0.832	0.909	0.867	0.828	0.768	0.865	42.177	0.964
114	0.214	0.833	0.913	0.867	0.835	0.765	0.866	42.176	0.963
115	0.202	0.838	0.919	0.869	0.825	0.762	0.868	42.153	0.963
116	0.198	0.836	0.921	0.871	0.831	0.769	0.87	42.133	0.963
117	0.192	0.837	0.926	0.877	0.835	0.768	0.876	42.085	0.962
118	0.186	0.838	0.928	0.881	0.841	0.763	0.878	42.112	0.963
119	0.184	0.84	0.929	0.88	0.842	0.771	0.877	42.101	0.962
120	0.178	0.842	0.933	0.882	0.844	0.758	0.88	42.067	0.962
121	0.168	0.844	0.937	0.885	0.848	0.767	0.885	42.086	0.962
122	0.163	0.848	0.938	0.887	0.855	0.766	0.885	42.157	0.962
123	0.16	0.847	0.94	0.892	0.85	0.771	0.89	42.1	0.962
124	0.153	0.848	0.943	0.891	0.851	0.758	0.89	42.114	0.961
125	0.148	0.849	0.946	0.895	0.864	0.77	0.893	42.061	0.961
126	0.143	0.85	0.947	0.894	0.862	0.768	0.892	42.1	0.961
127	0.142	0.849	0.948	0.9	0.86	0.77	0.897	42.076	0.961
128	0.139	0.85	0.949	0.898	0.863	0.775	0.897	42.069	0.961
