epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
1	1.381	0.518	0.518	0.522	0.523	0.521	0.522	43.496	0.99
2	1.363	0.532	0.532	0.52	0.521	0.518	0.52	42.336	0.988
3	1.355	0.53	0.529	0.524	0.522	0.523	0.524	41.798	0.987
4	1.351	0.528	0.526	0.517	0.517	0.516	0.518	41.682	0.986
5	1.349	0.532	0.53	0.525	0.524	0.523	0.525	41.426	0.987
6	1.346	0.533	0.531	0.517	0.517	0.517	0.517	41.47	0.987
7	1.343	0.532	0.531	0.525	0.518	0.523	0.525	41.466	0.986
8	1.344	0.529	0.528	0.523	0.52	0.521	0.524	41.212	0.986
9	1.34	0.533	0.531	0.515	0.515	0.517	0.516	41.218	0.986
10	1.339	0.527	0.526	0.523	0.523	0.524	0.523	41.116	0.987
11	1.336	0.529	0.529	0.519	0.522	0.519	0.519	41.057	0.986
12	1.335	0.528	0.527	0.523	0.522	0.521	0.523	41.208	0.986
13	1.33	0.531	0.529	0.523	0.521	0.522	0.523	41.036	0.986
14	1.33	0.53	0.529	0.523	0.52	0.521	0.524	40.934	0.985
15	1.33	0.528	0.527	0.522	0.515	0.519	0.522	40.998	0.985
16	1.326	0.532	0.53	0.516	0.52	0.515	0.515	40.906	0.985
17	1.326	0.534	0.532	0.521	0.522	0.522	0.522	40.936	0.985
18	1.323	0.533	0.532	0.523	0.521	0.521	0.523	40.988	0.985
19	1.321	0.533	0.532	0.53	0.524	0.528	0.53	40.948	0.984
20	1.318	0.536	0.535	0.532	0.529	0.529	0.532	40.86	0.984
21	1.312	0.54	0.54	0.526	0.521	0.525	0.527	40.85	0.984
22	1.307	0.542	0.542	0.53	0.521	0.529	0.53	40.792	0.984
23	1.305	0.538	0.539	0.527	0.526	0.523	0.527	40.652	0.982
24	1.304	0.54	0.539	0.529	0.531	0.526	0.53	40.874	0.983
25	1.299	0.54	0.538	0.535	0.532	0.533	0.535	40.907	0.983
26	1.296	0.544	0.543	0.528	0.526	0.527	0.527	40.887	0.983
27	1.296	0.542	0.54	0.536	0.537	0.534	0.536	40.846	0.982
28	1.293	0.542	0.541	0.533	0.532	0.533	0.532	40.946	0.983
29	1.289	0.545	0.543	0.536	0.534	0.533	0.536	40.833	0.982
30	1.286	0.542	0.541	0.538	0.536	0.539	0.538	40.853	0.982
31	1.286	0.543	0.542	0.54	0.538	0.54	0.54	40.854	0.982
32	1.283	0.547	0.546	0.534	0.534	0.531	0.533	40.874	0.982
33	1.284	0.544	0.544	0.543	0.54	0.541	0.542	40.881	0.981
34	1.276	0.546	0.546	0.538	0.539	0.538	0.538	40.858	0.98
35	1.275	0.546	0.546	0.544	0.538	0.544	0.543	40.903	0.98
36	1.272	0.548	0.549	0.547	0.542	0.545	0.547	40.921	0.98
37	1.27	0.552	0.552	0.548	0.546	0.547	0.548	41.017	0.978
38	1.267	0.55	0.55	0.547	0.542	0.546	0.547	41.06	0.978
39	1.265	0.556	0.556	0.548	0.544	0.548	0.548	41.055	0.979
40	1.264	0.563	0.562	0.563	0.56	0.56	0.563	41.126	0.978
41	1.26	0.575	0.576	0.565	0.561	0.563	0.563	41.145	0.978
42	1.251	0.586	0.587	0.581	0.578	0.58	0.58	41.35	0.977
43	1.239	0.596	0.596	0.591	0.593	0.59	0.589	41.341	0.978
44	1.229	0.607	0.607	0.603	0.602	0.603	0.603	41.507	0.976
45	1.215	0.619	0.62	0.611	0.607	0.608	0.611	41.559	0.976
46	1.197	0.633	0.634	0.618	0.616	0.611	0.619	41.701	0.976
47	1.183	0.639	0.641	0.633	0.627	0.624	0.632	41.727	0.975
48	1.174	0.643	0.647	0.639	0.638	0.632	0.639	41.717	0.974
