acc.aspect_ratio,acc.frame_rate,acc.identity,acc.transcoded,psnr,ssim,use_adversary,use_compression,use_critic,use_crop,use_scale
0.79,1.0,1.0,0.53,48.3,0.98,0,0,0,0,0
0.93,0.96,0.96,0.5,47.0,0.97,0,0,0,1,0
0.78,0.96,0.96,0.55,45.5,0.97,0,0,0,0,1
0.88,0.91,0.91,0.65,44.2,0.96,0,0,0,1,1
0.8,0.97,0.97,0.53,45.4,0.96,0,1,0,0,0
0.93,1.0,1.0,0.49,48.4,0.98,0,0,1,0,0
0.92,0.96,0.96,0.5,48.1,0.98,0,0,1,1,0
0.87,0.94,0.94,0.49,45.3,0.97,0,0,1,0,1
0.87,0.89,0.89,0.55,44.5,0.96,0,0,1,1,1
0.76,0.98,0.98,0.59,45.3,0.96,0,1,1,0,0
0.86,0.97,0.97,0.56,42.4,0.91,1,0,0,0,0
0.89,0.94,0.94,0.64,42.8,0.91,1,0,0,1,0
0.86,0.94,0.94,0.54,42.7,0.92,1,0,0,0,1
0.84,0.91,0.91,0.58,42.8,0.92,1,0,0,1,1
0.85,0.96,0.96,0.67,42.8,0.93,1,1,0,0,0
0.93,0.99,0.99,0.58,42.4,0.91,1,0,1,0,0
0.86,0.95,0.95,0.53,42.6,0.92,1,0,1,1,0
0.84,0.96,0.96,0.63,42.6,0.93,1,0,1,0,1
