epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.086	1.38	0.537	0.535	0.522	0.521	42.646	0.518	0.989
2	0.013	1.378	0.544	0.541	0.544	0.545	42.844	0.542	0.99
3	0.002	1.377	0.547	0.542	0.548	0.549	42.686	0.547	0.989
4	0.002	1.372	0.55	0.546	0.556	0.558	42.725	0.553	0.99
5	0.001	1.369	0.548	0.543	0.554	0.556	42.518	0.552	0.988
6	-0.003	1.368	0.551	0.547	0.56	0.562	42.409	0.557	0.988
7	0.0	1.362	0.556	0.55	0.547	0.55	42.406	0.547	0.988
8	0.0	1.356	0.56	0.552	0.549	0.555	42.206	0.55	0.988
9	-0.01	1.36	0.556	0.55	0.548	0.55	42.154	0.546	0.987
10	0.001	1.345	0.563	0.555	0.554	0.56	42.305	0.554	0.987
11	-0.0	1.337	0.568	0.558	0.561	0.569	42.182	0.563	0.986
12	-0.001	1.333	0.57	0.56	0.571	0.583	42.236	0.576	0.986
13	-0.002	1.323	0.575	0.564	0.56	0.572	42.271	0.565	0.988
14	-0.009	1.318	0.574	0.564	0.563	0.571	42.153	0.565	0.987
15	-0.0	1.315	0.575	0.565	0.585	0.595	42.233	0.589	0.987
16	0.0	1.312	0.578	0.569	0.583	0.598	42.18	0.59	0.987
17	-0.0	1.31	0.58	0.571	0.583	0.589	42.209	0.582	0.987
18	-0.0	1.323	0.575	0.567	0.561	0.571	42.157	0.566	0.987
19	-0.0	1.312	0.58	0.569	0.572	0.583	42.147	0.576	0.986
20	-0.003	1.308	0.576	0.567	0.575	0.584	42.112	0.576	0.986
21	-0.003	1.297	0.583	0.573	0.568	0.581	42.063	0.572	0.985
22	-0.012	1.302	0.58	0.571	0.587	0.601	42.078	0.592	0.985
23	-0.003	1.296	0.583	0.57	0.58	0.592	42.052	0.584	0.985
24	-0.006	1.282	0.591	0.58	0.589	0.596	42.103	0.587	0.982
25	-0.008	1.259	0.599	0.589	0.61	0.617	42.068	0.607	0.979
26	-0.013	1.233	0.615	0.603	0.64	0.65	42.032	0.638	0.98
27	-0.016	1.194	0.639	0.625	0.636	0.647	42.077	0.637	0.973
28	-0.02	1.157	0.661	0.643	0.663	0.678	42.061	0.666	0.975
29	-0.016	1.091	0.685	0.665	0.692	0.702	42.078	0.691	0.971
30	-0.015	1.044	0.703	0.682	0.681	0.697	42.033	0.677	0.969
31	-0.03	0.983	0.725	0.702	0.717	0.733	42.029	0.718	0.969
32	-0.004	0.932	0.74	0.718	0.742	0.752	42.02	0.738	0.97
33	-0.001	0.898	0.75	0.732	0.76	0.773	42.021	0.758	0.967
34	-0.002	0.874	0.753	0.733	0.778	0.783	42.023	0.776	0.967
35	-0.002	0.825	0.766	0.75	0.787	0.792	42.02	0.781	0.968
36	-0.002	0.803	0.774	0.754	0.789	0.799	42.025	0.783	0.964
37	0.0	0.795	0.778	0.756	0.795	0.803	42.011	0.79	0.964
38	0.0	0.784	0.784	0.765	0.806	0.813	42.012	0.8	0.966
39	-0.001	0.802	0.778	0.755	0.799	0.807	42.019	0.793	0.968
40	-0.001	0.733	0.796	0.778	0.825	0.832	42.024	0.821	0.962
41	-0.006	0.729	0.806	0.788	0.813	0.825	42.022	0.8	0.968
42	-0.007	0.708	0.818	0.793	0.833	0.843	42.031	0.828	0.968
43	-0.02	0.718	0.82	0.795	0.835	0.848	42.044	0.815	0.962
44	-0.007	0.69	0.832	0.809	0.855	0.863	42.023	0.845	0.967
45	-0.003	0.636	0.851	0.825	0.891	0.903	42.04	0.888	0.963
46	-0.003	0.575	0.868	0.844	0.897	0.911	42.029	0.895	0.962
47	-0.007	0.594	0.87	0.842	0.901	0.913	42.051	0.895	0.965
48	-0.008	0.543	0.886	0.858	0.902	0.915	42.04	0.895	0.962
49	-0.007	0.532	0.892	0.861	0.908	0.921	42.057	0.896	0.959
50	-0.013	0.463	0.906	0.885	0.909	0.924	42.04	0.896	0.96
51	-0.006	0.449	0.909	0.888	0.929	0.941	42.046	0.92	0.962
52	-0.002	0.451	0.91	0.888	0.945	0.953	42.055	0.941	0.96
53	-0.001	0.418	0.921	0.898	0.95	0.959	42.079	0.942	0.958
54	-0.001	0.407	0.923	0.902	0.924	0.938	42.045	0.908	0.964
55	-0.003	0.415	0.921	0.898	0.934	0.945	42.059	0.922	0.96
56	-0.01	0.367	0.931	0.911	0.946	0.954	42.048	0.937	0.958
57	-0.002	0.346	0.934	0.915	0.93	0.942	42.046	0.914	0.965
58	-0.001	0.361	0.933	0.913	0.963	0.971	42.043	0.952	0.961
59	-0.009	0.317	0.949	0.926	0.966	0.973	42.043	0.953	0.961
60	-0.002	0.377	0.939	0.911	0.97	0.976	42.043	0.961	0.961
61	-0.0	0.331	0.944	0.925	0.958	0.965	42.045	0.937	0.962
62	-0.001	0.343	0.946	0.92	0.953	0.964	42.06	0.939	0.96
63	-0.001	0.284	0.954	0.936	0.977	0.982	42.053	0.97	0.957
64	-0.001	0.289	0.953	0.936	0.979	0.984	42.074	0.972	0.954
65	-0.001	0.341	0.943	0.921	0.97	0.977	42.052	0.956	0.957
66	-0.002	0.3	0.952	0.931	0.95	0.966	42.072	0.94	0.959
67	-0.003	0.271	0.955	0.941	0.977	0.982	42.066	0.967	0.957
68	-0.002	0.277	0.955	0.939	0.971	0.979	42.063	0.961	0.956
69	-0.002	0.274	0.959	0.939	0.981	0.989	42.046	0.974	0.957
